# MSTAGAT-Net Experiment Results
# Format: [Timestamp] Model | Dataset, Window, Horizon, Ablation, Seed | Metrics
# ================================================================================
[20260127_031753] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 9.6961, RMSE: 11.7271, PCC: 0.9831, R2: 0.9154
[20260127_031827] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 30 | MAE: 8.4441, RMSE: 10.3646, PCC: 0.9870, R2: 0.9339
[20260127_031919] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 45 | MAE: 7.2613, RMSE: 8.5713, PCC: 0.9905, R2: 0.9548
[20260127_032005] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 123 | MAE: 9.5108, RMSE: 11.4952, PCC: 0.9836, R2: 0.9187
[20260127_032033] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 1000 | MAE: 6.6289, RMSE: 8.1546, PCC: 0.9922, R2: 0.9591
[20260127_032053] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 5 | MAE: 8.1341, RMSE: 10.6855, PCC: 0.9693, R2: 0.9297
[20260127_032133] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 30 | MAE: 8.8542, RMSE: 11.1012, PCC: 0.9765, R2: 0.9242
[20260127_032159] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 45 | MAE: 20.9602, RMSE: 24.0527, PCC: 0.9623, R2: 0.6439
[20260127_032220] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 123 | MAE: 15.1851, RMSE: 18.8591, PCC: 0.9522, R2: 0.7811
[20260127_032253] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 1000 | MAE: 12.2046, RMSE: 16.1524, PCC: 0.9608, R2: 0.8394
[20260127_032318] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 5 | MAE: 10.2100, RMSE: 13.8366, PCC: 0.9491, R2: 0.8822
[20260127_032336] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 30 | MAE: 30.2394, RMSE: 36.7173, PCC: 0.8848, R2: 0.1703
[20260127_032401] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 45 | MAE: 21.5745, RMSE: 30.6170, PCC: 0.8728, R2: 0.4231
[20260127_032420] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 123 | MAE: 27.4578, RMSE: 35.0586, PCC: 0.8667, R2: 0.2436
[20260127_032439] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 1000 | MAE: 20.4312, RMSE: 28.7598, PCC: 0.8613, R2: 0.4910
[20260127_060244] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 5 | MAE: 9.6961, RMSE: 11.7271, PCC: 0.9831, R2: 0.9154
[20260127_060305] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 7, Ablation: none, Seed: 5 | MAE: 8.1341, RMSE: 10.6855, PCC: 0.9693, R2: 0.9297
[20260127_060330] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 14, Ablation: none, Seed: 5 | MAE: 10.2100, RMSE: 13.8366, PCC: 0.9491, R2: 0.8822
[20260127_060412] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 3, Ablation: no_agam, Seed: 5 | MAE: 5.4198, RMSE: 6.8901, PCC: 0.9902, R2: 0.9708
[20260127_060433] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 7, Ablation: no_agam, Seed: 5 | MAE: 8.6897, RMSE: 11.1387, PCC: 0.9746, R2: 0.9236
[20260127_060450] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 14, Ablation: no_agam, Seed: 5 | MAE: 13.8603, RMSE: 20.4505, PCC: 0.8923, R2: 0.7426
[20260127_060509] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 3, Ablation: no_mtfm, Seed: 5 | MAE: 4.1048, RMSE: 5.5546, PCC: 0.9937, R2: 0.9810
[20260127_060545] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 7, Ablation: no_mtfm, Seed: 5 | MAE: 9.1377, RMSE: 11.5492, PCC: 0.9809, R2: 0.9179
[20260127_060612] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 14, Ablation: no_mtfm, Seed: 5 | MAE: 9.5555, RMSE: 12.2433, PCC: 0.9625, R2: 0.9077
[20260127_060650] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 3, Ablation: no_pprm, Seed: 5 | MAE: 5.3733, RMSE: 6.8697, PCC: 0.9906, R2: 0.9710
[20260127_060728] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 7, Ablation: no_pprm, Seed: 5 | MAE: 6.2797, RMSE: 9.0002, PCC: 0.9772, R2: 0.9501
[20260127_060804] MSTAGAT-Net | Dataset: nhs_timeseries, Window: 20, Horizon: 14, Ablation: no_pprm, Seed: 5 | MAE: 11.5659, RMSE: 14.5169, PCC: 0.9537, R2: 0.8703
[20260204_125930] EpiSIG-Net-V5 | Dataset: nhs_timeseries, Window: 20, Horizon: 3, Ablation: none, Seed: 1 | MAE: 2.3157, RMSE: 3.0629, PCC: 0.9971, R2: 0.9942
